지점명,일자,방향,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
원효대교,20230801,유출,373.0,263.0,191.0,150.0,184.0,334.0,731.0,1378.0,1511.0,1104.0,1066.0,1122.0,1053.0,1291.0,1241.0,1316.0,1609.0,1850.0,1614.0,1256.0,1094.0,1003.0,768.0,564.0
원효대교,20230802,유출,372.0,286.0,165.0,165.0,177.0,321.0,684.0,1399.0,1546.0,1103.0,1029.0,1105.0,1088.0,1195.0,1234.0,1353.0,1497.0,1874.0,1637.0,1246.0,1076.0,923.0,755.0,600.0
원효대교,20230803,유출,387.0,261.0,200.0,165.0,166.0,329.0,742.0,1373.0,1602.0,1039.0,1012.0,1132.0,1121.0,1263.0,1203.0,1487.0,1321.0,1771.0,1752.0,1365.0,1028.0,949.0,825.0,570.0
원효대교,20230804,유출,454.0,315.0,212.0,188.0,170.0,329.0,704.0,1352.0,1525.0,1167.0,1066.0,1122.0,1109.0,1279.0,1310.0,1371.0,1676.0,1850.0,1626.0,1211.0,1171.0,1021.0,851.0,712.0
원효대교,20230805,유출,468.0,361.0,251.0,169.0,214.0,311.0,497.0,581.0,714.0,853.0,1138.0,1135.0,1030.0,1019.0,1132.0,1182.0,1279.0,1368.0,1155.0,981.0,1010.0,962.0,884.0,693.0
원효대교,20230806,유출,509.0,315.0,269.0,194.0,157.0,229.0,362.0,384.0,518.0,665.0,847.0,911.0,988.0,1103.0,1126.0,1183.0,1205.0,1155.0,1070.0,915.0,864.0,800.0,714.0,439.0
원효대교,20230807,유출,315.0,205.0,107.0,104.0,147.0,337.0,721.0,1508.0,1609.0,1090.0,1055.0,1093.0,1032.0,1254.0,1224.0,1322.0,1573.0,1915.0,1645.0,1304.0,1060.0,751.0,649.0,521.0
원효대교,20230808,유출,395.0,230.0,196.0,129.0,168.0,337.0,698.0,1434.0,1613.0,1069.0,1089.0,1164.0,1104.0,1372.0,1343.0,1510.0,1621.0,1794.0,1744.0,1427.0,1106.0,964.0,712.0,597.0
원효대교,20230809,유출,378.0,274.0,170.0,131.0,147.0,312.0,690.0,1418.0,1612.0,1201.0,1066.0,1136.0,1076.0,1279.0,1258.0,1427.0,1692.0,1771.0,1790.0,1415.0,1148.0,1022.0,873.0,469.0
원효대교,20230810,유출,352.0,235.0,169.0,140.0,136.0,313.0,622.0,1379.0,1482.0,1046.0,1050.0,1060.0,946.0,1073.0,1071.0,1309.0,1505.0,1633.0,1621.0,1103.0,556.0,426.0,371.0,322.0
원효대교,20230811,유출,191.0,142.0,95.0,88.0,111.0,285.0,617.0,1364.0,1482.0,1079.0,1127.0,1191.0,1185.0,1238.0,1250.0,1352.0,1757.0,1955.0,1674.0,1107.0,1062.0,961.0,764.0,605.0
원효대교,20230812,유출,455.0,338.0,231.0,167.0,196.0,270.0,458.0,607.0,795.0,812.0,875.0,982.0,1046.0,1196.0,1128.0,1249.0,1378.0,1341.0,1192.0,989.0,962.0,900.0,844.0,709.0
원효대교,20230813,유출,455.0,302.0,228.0,165.0,171.0,211.0,354.0,342.0,491.0,713.0,817.0,1038.0,1042.0,1209.0,1190.0,1350.0,1232.0,1347.0,1120.0,971.0,971.0,836.0,697.0,483.0
원효대교,20230814,유출,342.0,188.0,145.0,121.0,132.0,327.0,644.0,1306.0,1336.0,949.0,1055.0,1187.0,1198.0,1213.0,1267.0,1429.0,1613.0,1675.0,1710.0,1151.0,939.0,822.0,852.0,609.0
원효대교,20230815,유출,450.0,329.0,241.0,145.0,192.0,280.0,456.0,420.0,500.0,657.0,861.0,986.0,1113.0,1013.0,1198.0,1232.0,1346.0,1184.0,1082.0,959.0,875.0,870.0,736.0,451.0
원효대교,20230816,유출,345.0,251.0,159.0,120.0,155.0,384.0,761.0,1518.0,1650.0,1118.0,1097.0,1161.0,1075.0,1312.0,1332.0,1419.0,1701.0,1760.0,1877.0,1446.0,1060.0,724.0,567.0,454.0
원효대교,20230817,유출,374.0,248.0,204.0,164.0,171.0,351.0,669.0,1458.0,1634.0,1142.0,1114.0,1152.0,1194.0,1307.0,1272.0,1365.0,1530.0,1932.0,1783.0,1264.0,1137.0,904.0,826.0,628.0
원효대교,20230818,유출,426.0,299.0,227.0,162.0,179.0,350.0,706.0,1431.0,1518.0,1065.0,1034.0,1107.0,1122.0,1215.0,1258.0,1384.0,1696.0,1806.0,1493.0,1370.0,1310.0,1023.0,948.0,681.0
원효대교,20230819,유출,508.0,374.0,286.0,213.0,229.0,290.0,475.0,568.0,710.0,819.0,979.0,1072.0,1212.0,1170.0,1181.0,1209.0,1310.0,1234.0,1120.0,963.0,963.0,990.0,930.0,634.0
원효대교,20230820,유출,455.0,335.0,257.0,190.0,187.0,196.0,336.0,398.0,538.0,675.0,865.0,868.0,1038.0,1149.0,1093.0,1144.0,1058.0,1194.0,1048.0,858.0,868.0,884.0,671.0,507.0
원효대교,20230821,유출,336.0,223.0,142.0,113.0,197.0,344.0,802.0,1579.0,1595.0,1149.0,970.0,1110.0,1123.0,1158.0,1229.0,1277.0,1555.0,1811.0,1827.0,1312.0,1053.0,853.0,725.0,491.0
원효대교,20230822,유출,354.0,247.0,178.0,119.0,180.0,347.0,681.0,1470.0,1610.0,1137.0,1114.0,1238.0,1121.0,1259.0,1331.0,1350.0,1495.0,1628.0,1754.0,1327.0,1117.0,939.0,785.0,479.0
원효대교,20230823,유출,353.0,262.0,181.0,119.0,145.0,295.0,643.0,1511.0,1632.0,1143.0,1015.0,1172.0,1066.0,1219.0,1112.0,1337.0,1526.0,1505.0,1851.0,1430.0,1028.0,810.0,667.0,446.0
원효대교,20230824,유출,362.0,235.0,195.0,143.0,135.0,305.0,743.0,1495.0,1661.0,1109.0,935.0,1141.0,1147.0,1320.0,1327.0,1455.0,1598.0,1832.0,1784.0,1289.0,1099.0,938.0,875.0,566.0
원효대교,20230825,유출,377.0,309.0,224.0,168.0,182.0,363.0,663.0,1469.0,1617.0,1157.0,1019.0,1104.0,1203.0,1305.0,1447.0,1414.0,1851.0,2175.0,1770.0,1335.0,1266.0,1113.0,986.0,752.0
원효대교,20230826,유출,484.0,356.0,286.0,225.0,216.0,280.0,527.0,587.0,757.0,830.0,961.0,967.0,1046.0,1055.0,1156.0,1284.0,1493.0,1231.0,1223.0,1016.0,1050.0,1095.0,873.0,651.0
원효대교,20230827,유출,467.0,360.0,251.0,220.0,175.0,197.0,331.0,383.0,523.0,685.0,836.0,861.0,1119.0,1089.0,1235.0,1240.0,1246.0,1216.0,1110.0,920.0,881.0,765.0,706.0,443.0
원효대교,20230828,유출,327.0,194.0,158.0,139.0,132.0,361.0,737.0,1458.0,1610.0,1143.0,1022.0,1111.0,1026.0,1085.0,1186.0,1287.0,1673.0,1743.0,1820.0,1367.0,1004.0,810.0,679.0,445.0
원효대교,20230829,유출,328.0,232.0,170.0,137.0,154.0,335.0,713.0,1388.0,1554.0,1155.0,1035.0,1089.0,1057.0,1193.0,1180.0,1322.0,1524.0,1658.0,1698.0,1549.0,961.0,845.0,766.0,498.0
